,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,year,month
0,1504137600,2017-08-31,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,,2017,8
1,1506729600,2017-09-30,BTC/USDT,4174.69,4380.0,4138.1,4378.51,705.52,3025265.75,,2017,9
2,1509408000,2017-10-31,BTC/USDT,6120.5,6498.01,6100.0,6463.0,1498.91,9405855.26,,2017,10
3,1512000000,2017-11-30,BTC/USDT,9687.88,10900.0,8850.8,9838.96,9181.76,89443707.91,,2017,11
4,1514678400000,2017-12-31,BTC/USDT,12345.1,14050.11,12149.98,13716.36,11768.989718,155283285.36704132,138893.0,2017,12
5,1517356800000,2018-01-31,BTC/USDT,10230.0,10425.85,9700.0,10285.1,18015.956805,181644207.1131626,201422.0,2018,1
6,1519776000000,2018-02-28,BTC/USDT,10584.33,11098.0,10300.0,10326.76,30800.983782,327914696.13067526,277886.0,2018,2
7,1522454400000,2018-03-31,BTC/USDT,6840.24,7223.36,6777.0,6923.91,36868.539087,258341534.47236216,240293.0,2018,3
8,1525046400000,2018-04-30,BTC/USDT,9417.04,9458.64,9124.99,9246.01,35002.033875,325019389.2499412,285951.0,2018,4
9,1527724800000,2018-05-31,BTC/USDT,7382.07,7699.0,7327.51,7485.01,30776.063102,231017579.8341327,274399.0,2018,5
10,1530316800000,2018-06-30,BTC/USDT,6197.92,6528.99,6186.03,6390.07,37919.61284,241568568.0310778,230915.0,2018,6
11,1532995200000,2018-07-31,BTC/USDT,8171.4,8180.0,7633.0,7730.93,48296.915587,379841367.20240223,239132.0,2018,7
12,1535673600000,2018-08-31,BTC/USDT,6984.84,7089.0,6888.0,7011.21,40467.400638,282722730.0613195,203142.0,2018,8
13,1538265600000,2018-09-30,BTC/USDT,6597.66,6662.0,6533.0,6626.57,27764.724519,183438992.37719536,153447.0,2018,9
14,1540944000000,2018-10-31,BTC/USDT,6330.01,6428.0,6245.02,6371.93,12148.888216,76970488.28166042,111552.0,2018,10
15,1543536000000,2018-11-30,BTC/USDT,4295.72,4341.36,3943.0,4041.32,67758.446283,278810574.935784,288098.0,2018,11
16,1546214400000,2018-12-31,BTC/USDT,3803.12,3810.0,3630.33,3702.9,29991.77835,111847216.11708207,190308.0,2018,12
17,1548892800000,2019-01-31,BTC/USDT,3457.5,3489.2,3418.8,3434.1,29607.190253,101928346.97699685,198100.0,2019,1
18,1551312000000,2019-02-28,BTC/USDT,3818.04,3888.0,3763.87,3813.69,32561.961044,124703738.39336836,233849.0,2019,2
19,1553990400000,2019-03-31,BTC/USDT,4106.99,4116.12,4082.57,4103.95,13525.087433,55472147.12701675,124046.0,2019,3
20,1556582400000,2019-04-30,BTC/USDT,5238.14,5339.98,5192.15,5320.81,22238.06823,117309839.23079813,180989.0,2019,4
21,1559260800000,2019-05-31,BTC/USDT,8267.1,8594.0,8108.5,8555.0,44727.49162,373629673.9190144,416525.0,2019,5
22,1561852800000,2019-06-30,BTC/USDT,11903.13,12180.0,10766.03,10854.1,84512.530443,971151050.9005816,711267.0,2019,6
23,1564531200000,2019-07-31,BTC/USDT,9575.0,10109.8,9555.0,10080.53,39515.35456,389690761.44466114,364212.0,2019,7
24,1567209600000,2019-08-31,BTC/USDT,9582.76,9684.51,9420.75,9587.47,17130.290074,164116756.4629969,199188.0,2019,8
25,1569801600000,2019-09-30,BTC/USDT,8043.04,8337.26,7710.0,8289.34,55865.48726,449120676.8427603,455556.0,2019,9
26,1572480000000,2019-10-31,BTC/USDT,9154.02,9405.0,8913.0,9140.85,54376.024902,498152743.7348088,490183.0,2019,10
27,1575072000000,2019-11-30,BTC/USDT,7740.99,7810.0,7441.0,7541.89,46989.433619,358749026.3607554,346506.0,2019,11
28,1577750400000,2019-12-31,BTC/USDT,7246.0,7320.0,7145.01,7195.23,25954.453533,187518399.34504002,251976.0,2019,12
29,1580428800000,2020-01-31,BTC/USDT,9511.52,9530.22,9210.01,9352.89,45552.022352,425779010.40653664,428547.0,2020,1
30,1582934400000,2020-02-29,BTC/USDT,8690.8,8790.0,8523.55,8523.61,36748.183035,318585951.98853236,414175.0,2020,2
31,1585612800000,2020-03-31,BTC/USDT,6394.45,6523.23,6321.4,6410.44,72337.595259,465780496.6224872,538231.0,2020,3
32,1588204800000,2020-04-30,BTC/USDT,8778.58,9460.0,8401.0,8620.0,206277.214124,1839283907.4625194,1661554.0,2020,4
33,1590883200000,2020-05-31,BTC/USDT,9697.72,9700.0,9381.41,9448.27,48333.786403,461272298.8525205,651473.0,2020,5
34,1593475200000,2020-06-30,BTC/USDT,9192.93,9205.0,9064.89,9138.55,31463.162801,287781334.5170158,328083.0,2020,6
35,1596153600000,2020-07-31,BTC/USDT,11099.79,11444.0,10960.0,11335.46,70063.660974,786344325.8552314,971584.0,2020,7
36,1598832000000,2020-08-31,BTC/USDT,11711.17,11800.77,11570.0,11649.51,55353.617744,646723855.5714536,822062.0,2020,8
37,1601424000000,2020-09-30,BTC/USDT,10840.58,10849.34,10665.13,10776.59,39596.027322,425279696.28526336,595383.0,2020,9
38,1604102400000,2020-10-31,BTC/USDT,13560.1,14100.0,13411.5,13791.0,67339.238515,927048458.5423619,1022202.0,2020,10
39,1606694400000,2020-11-30,BTC/USDT,18185.0,19863.16,18184.99,19695.87,115463.466888,2205929119.5053363,1744149.0,2020,11
40,1609372800000,2020-12-31,BTC/USDT,28875.55,29300.0,27850.0,28923.63,75508.505152,2173600125.420074,1552793.0,2020,12
41,1612051200000,2021-01-31,BTC/USDT,34262.89,34342.69,32171.67,33092.98,68742.280384,2289641045.7580123,1707064.0,2021,1
42,1614470400000,2021-02-28,BTC/USDT,46103.67,46638.46,43000.0,45135.66,83055.369042,3708359965.4545813,1838345.0,2021,2
43,1617148800000,2021-03-31,BTC/USDT,58746.57,59800.0,56769.0,58740.55,60975.542666,3575976083.804576,1928224.0,2021,3
44,1619740800000,2021-04-30,BTC/USDT,53555.0,57963.0,53013.01,57694.27,68578.910045,3808187372.7393794,2267648.0,2021,4
45,1620777600000,2021-05-12,BTC/USDT,56670.02,56704.83,56555.12,56650.96,145.325282,8230297.17924936,5679.0,2021,5
